校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
國立臺灣大學,物理治療學系,英　文 (均標),生　物(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立臺灣大學,職能治療學系,---,英　文(學測) x 1.50、國　文(學測) x 1.25、生　物(分科) x 1.00、數學甲(分科) x 1.00
國立臺灣大學,醫學檢驗暨生物技術學系,---,化　學(分科) x 1.00、生　物(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
國立臺灣大學,醫學系(公費),國　文 (頂標),生　物(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立臺灣大學,醫學系(自費),國　文 (頂標),生　物(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立臺灣大學,藥學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 2.00、生　物(分科) x 2.00、英　文(學測) x 1.00
國立臺灣大學,護理學系,英　文 (均標) 自　然 (均標),英　文(學測) x 1.00、生　物(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
國立臺灣大學,昆蟲學系,國　文 (均標) 英　文 (前標),生　物(分科) x 2.00、化　學(分科) x 1.50、英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立臺灣大學,動物科學技術學系,---,生　物(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00
國立臺灣大學,生物產業傳播暨發展學系,---,英　文(學測) x 1.50、國　文(學測) x 1.50、數學 A(學測) x 1.50、地　理(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣大學,公共衛生學系B組,---,數學 A(學測) x 1.25、英　文(學測) x 1.25、公民與社會(分科) x 1.25、國　文(學測) x 1.00
國立臺灣大學,地理環境資源學系B組,英　文 (均標),地　理(分科) x 1.25、公民與社會(分科) x 1.00、數學乙(分科) x 1.00
國立臺灣大學,農業經濟學系B組,英　文 (均標) 數學 A (前標),數學乙(分科) x 2.00、英　文(學測) x 2.00、社　會(學測) x 1.00
國立臺灣大學,戲劇學系(女),---,英　文(學測) x 1.50、國　文(學測) x 1.50、數學 B(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣大學,會計學系B組,---,英　文(學測) x 1.50、國　文(學測) x 1.25、數學乙(分科) x 1.25、公民與社會(分科) x 1.00、地　理(分科) x 1.00
國立臺灣大學,國際企業學系B組,---,英　文(學測) x 2.00、數學乙(分科) x 1.00、地　理(分科) x 1.00、歷　史(分科) x 1.00、公民與社會(分科) x 1.00
國立臺灣大學,經濟學系B組,---,數學乙(分科) x 2.00、英　文(學測) x 1.50、公民與社會(分科) x 1.00、地　理(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣師範大學,資訊工程學系,---,數學甲(分科) x 1.50、英　文(學測) x 1.50、物　理(分科) x 1.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立臺灣師範大學,英語學系,---,英　文(學測) x 2.00、國　文(學測) x 1.50、數學 B(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣師範大學,設計學系視覺設計組,---,美　術(術科) x 2.00、英　文(學測) x 1.75、國　文(學測) x 1.75、歷　史(分科) x 1.00
國立臺灣師範大學,表演藝術學系,---,國　文(學測) x 1.75、歷　史(分科) x 1.50、英　文(學測) x 1.25
國立臺灣師範大學,體育與運動科學系,---,英　文(學測) x 2.00、生　物(分科) x 1.50、國　文(學測) x 1.50、數學 B(學測) x 1.00
國立臺灣師範大學,教育學系,---,英　文(學測) x 1.50、國　文(學測) x 1.50、歷　史(分科) x 1.00、地　理(分科) x 1.00、數學 B(學測) x 1.00
國立臺灣師範大學,健康促進與衛生教育學系,---,英　文(學測) x 1.50、生　物(分科) x 1.50、數學甲(分科) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,國文學系,---,國　文(學測) x 2.00、英　文(學測) x 1.50、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣師範大學,物理學系,---,物　理(分科) x 1.50、數學甲(分科) x 1.25、英　文(學測) x 1.00
國立臺灣師範大學,生命科學系,---,生　物(分科) x 1.50、化　學(分科) x 1.25、英　文(學測) x 1.25、數學 A(學測) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,地球科學系,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、化　學(分科) x 1.50、英　文(學測) x 1.00
國立臺灣師範大學,教育心理與輔導學系,---,英　文(學測) x 1.25、數學 B(學測) x 1.25、國　文(學測) x 1.00、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣師範大學,社會教育學系,國　文 (前標) 社　會 (前標),公民與社會(分科) x 1.50、國　文(學測) x 1.50、英　文(學測) x 1.50、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺灣師範大學,企業管理學系,數學 A (均標)或 數學 B (前標),英　文(學測) x 2.00、數學乙(分科) x 1.50、國　文(學測) x 1.00
國立臺灣師範大學,東亞學系,---,英　文(學測) x 2.00、國　文(學測) x 1.50、數學 B(學測) x 1.00、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,---,英　文(學測) x 2.00、數學 B(學測) x 2.00、國　文(學測) x 1.75、公民與社會(分科) x 1.00
國立臺灣師範大學,公民教育與活動領導學系,---,公民與社會(分科) x 2.00、國　文(學測) x 1.25、英　文(學測) x 1.25、數學 B(學測) x 1.00
國立臺灣師範大學,特殊教育學系,---,國　文(學測) x 1.25、英　文(學測) x 1.25、公民與社會(分科) x 1.00
國立臺灣師範大學,歷史學系,---,歷　史(分科) x 1.50、國　文(學測) x 1.25、英　文(學測) x 1.25、地　理(分科) x 1.00、數學 B(學測) x 1.00
國立臺灣師範大學,地理學系,---,地　理(分科) x 1.50、英　文(學測) x 1.25、數學 B(學測) x 1.00、國　文(學測) x 1.00
國立臺灣師範大學,數學系,---,數學甲(分科) x 2.00、英　文(學測) x 1.00、物　理(分科) x 1.00
國立臺灣師範大學,化學系,---,化　學(分科) x 1.75、物　理(分科) x 1.50、數學甲(分科) x 1.25、英　文(學測) x 1.00
國立臺灣師範大學,美術學系繪畫組,---,美　術(術科) x 1.50、國　文(學測) x 1.00、英　文(學測) x 1.00、歷　史(分科) x 1.00
