校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
國立彰化師範大學,資訊管理學系數位內容科技與管理組,數學 B (均標),英　文(學測) x 2.00、數學 B(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立彰化師範大學,智慧車輛工程學系,---,物　理(分科) x 1.50、英　文(學測) x 1.50、數學甲(分科) x 1.50、國　文(學測) x 1.00
中山醫學大學,物理治療學系,---,英　文(學測) x 1.50、生　物(分科) x 1.50、國　文(學測) x 1.50、物　理(分科) x 1.00
中山醫學大學,營養學系,---,生　物(分科) x 2.00、化　學(分科) x 2.00、國　文(學測) x 1.75
中山醫學大學,公共衛生學系(A組),---,國　文(學測) x 2.00、英　文(學測) x 2.00、化　學(分科) x 1.00
中山醫學大學,公共衛生學系(B組),---,歷　史(分科) x 1.00、國　文(學測) x 2.00、英　文(學測) x 2.00
中山醫學大學,職能治療學系,---,英　文(學測) x 1.50、國　文(學測) x 1.25、生　物(分科) x 1.00
中山醫學大學,語言治療與聽力學系語言治療組,---,英　文(學測) x 2.00、生　物(分科) x 1.50、國　文(學測) x 1.50、物　理(分科) x 1.00
中山醫學大學,生物醫學科學學系,---,生　物(分科) x 2.00、英　文(學測) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00
中山醫學大學,視光學系,---,生　物(分科) x 1.50、英　文(學測) x 1.00、物　理(分科) x 1.00、國　文(學測) x 1.00
中山醫學大學,醫療產業科技管理學系,---,英　文(學測) x 1.50、國　文(學測) x 1.00、數學乙(分科) x 1.00、地　理(分科) x 1.00
中山醫學大學,醫學應用化學系,---,化　學(分科) x 2.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
中山醫學大學,醫學影像暨放射科學系,---,物　理(分科) x 2.00、生　物(分科) x 1.50、國　文(學測) x 1.00
中山醫學大學,心理學系,---,英　文(學測) x 2.00、國　文(學測) x 1.50、數學甲(分科) x 1.00
中山醫學大學,健康產業科技管理學系,---,化　學(分科) x 1.00、國　文(學測) x 1.00、英　文(學測) x 1.00
中山醫學大學,職業安全衛生學系,---,化　學(分科) x 1.00、國　文(學測) x 1.00、英　文(學測) x 1.00
中山醫學大學,醫學資訊學系,---,數學甲(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
中山醫學大學,應用外國語言學系,---,英　文(學測) x 1.50、國　文(學測) x 1.00、歷　史(分科) x 1.00
中山醫學大學,醫學社會暨社會工作學系,---,國　文(學測) x 1.50、英　文(學測) x 1.00、公民與社會(分科) x 2.00
中山醫學大學,醫學系,---,生　物(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
中山醫學大學,語言治療與聽力學系聽力組,---,英　文(學測) x 2.00、物　理(分科) x 1.50、國　文(學測) x 1.50、生　物(分科) x 1.00
中山醫學大學,牙醫學系,---,生　物(分科) x 1.25、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00
中山醫學大學,醫學檢驗暨生物技術學系,---,生　物(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
中山醫學大學,護理學系,---,生　物(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立中山大學,中國文學系,---,國　文(學測) x 2.00、歷　史(分科) x 1.00、英　文(學測) x 1.00、地　理(分科) x 1.00
國立中山大學,外國語文學系,---,英　文(學測) x 2.00、國　文(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立中山大學,音樂學系,---,音　樂(術科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立中山大學,政治經濟學系,---,英　文(學測) x 1.50、數學乙(分科) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立中山大學,企業管理學系(A組),---,英　文(學測) x 2.00、數學乙(分科) x 2.00、國　文(學測) x 1.00
國立中山大學,財務管理學系,---,數學乙(分科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立中山大學,資訊管理學系,---,數學甲(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.50
國立中山大學,海洋環境及工程學系,---,英　文(學測) x 1.25、物　理(分科) x 1.50、化　學(分科) x 1.00、數學甲(分科) x 1.50
國立中山大學,資訊工程學系,---,數學甲(分科) x 2.00、英　文(學測) x 1.00、物　理(分科) x 1.50、國　文(學測) x 1.00
國立中山大學,電機工程學系,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立中山大學,機械與機電工程學系,---,物　理(分科) x 2.00、數學甲(分科) x 1.50、國　文(學測) x 1.00
國立中山大學,化學系,---,化　學(分科) x 2.00、物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.25、國　文(學測) x 1.00
國立中山大學,物理學系,---,物　理(分科) x 1.50、數學甲(分科) x 1.75、英　文(學測) x 1.75、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中山大學,應用數學系,---,數學甲(分科) x 2.00、英　文(學測) x 1.00、物　理(分科) x 1.50
國立中山大學,生物科學系,---,生　物(分科) x 1.50、化　學(分科) x 1.25、英　文(學測) x 1.25、數學甲(分科) x 1.00、國　文(學測) x 1.00
國立中山大學,海洋生物科技暨資源學系,數學 A (均標)或 數學 B (均標)英　聽 (B級),英　文(學測) x 1.00、生　物(分科) x 1.00、化　學(分科) x 1.00
國立中山大學,材料與光電科學學系甲組,---,物　理(分科) x 2.00、化　學(分科) x 2.00、數學甲(分科) x 1.00
國立中山大學,劇場藝術學系(男),---,國　文(學測) x 2.00、英　文(學測) x 2.00、歷　史(分科) x 1.00
國立中山大學,社會學系,數學 A (均標)或 數學 B (均標),公民與社會(分科) x 2.00、英　文(學測) x 2.00、地　理(分科) x 1.00
國立中山大學,電機工程學系英語組,英　文 (前標),數學甲(分科) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立中山大學,光電工程學系,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、英　文(學測) x 1.00、化　學(分科) x 1.00
國立中山大學,國際經營管理全英語學士學位學程,英　文 (均標),英　文(學測) x 2.00、公民與社會(分科) x 1.50、數學 B(學測) x 1.00
國立中山大學,海洋科學系,---,英　文(學測) x 1.25、數學甲(分科) x 1.25、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中山大學,機械與機電工程學系全英語組,---,物　理(分科) x 2.00、數學甲(分科) x 1.50、英　文(學測) x 2.00
國立中山大學,物理學系量子科技組(全英),英　文 (均標),物　理(分科) x 1.50、數學甲(分科) x 1.75、英　文(學測) x 2.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立中山大學,材料與光電科學學系乙組,---,數學甲(分科) x 2.00、物　理(分科) x 2.00、國　文(學測) x 1.00
國立中山大學,材料與光電科學學系全英語組,---,數學甲(分科) x 2.00、化　學(分科) x 2.00、英　文(學測) x 1.00
國立中山大學,人文暨科技跨領域學系,數學 A (均標)或 數學 B (前標),英　文(學測) x 1.00、國　文(學測) x 1.00、物　理(分科) x 1.00
國立中山大學,化學系英語組,英　文 (均標),化　學(分科) x 1.25、物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 2.00、國　文(學測) x 1.00
國立中山大學,企業管理學系(B組),---,英　文(學測) x 2.00、數學乙(分科) x 2.00、公民與社會(分科) x 1.00
國立中山大學,應用數學系英語組,英　文 (均標),數學甲(分科) x 2.00、英　文(學測) x 1.50、物　理(分科) x 1.00
國立中山大學,生物科學系英語組,英　文 (均標),生　物(分科) x 1.50、化　學(分科) x 1.25、英　文(學測) x 1.50、數學甲(分科) x 1.00、國　文(學測) x 1.00
國立中山大學,資訊工程學系全英語學士班,---,數學甲(分科) x 2.00、英　文(學測) x 2.00、物　理(分科) x 1.50
國立中山大學,光電工程學系全英語組,英　文 (均標),數學甲(分科) x 2.00、物　理(分科) x 2.00、英　文(學測) x 1.50、化　學(分科) x 1.00
國立中山大學,生物醫學科技學系全英語學士班生物醫學組,---,生　物(分科) x 2.00、英　文(學測) x 1.50、化　學(分科) x 1.50、數學甲(分科) x 1.00
國立中山大學,生物醫學科技學系全英語學士班生醫工程組,---,數學甲(分科) x 1.50、物　理(分科) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00、生　物(分科) x 1.00
國立中山大學,護理學系,---,生　物(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.25、數學甲(分科) x 1.00
國立中山大學,劇場藝術學系(女),---,國　文(學測) x 2.00、英　文(學測) x 2.00、歷　史(分科) x 1.00
長庚大學,工業設計學系,---,英　文(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
長庚大學,工商管理學系,---,英　文(學測) x 2.00、數學乙(分科) x 1.00、國　文(學測) x 1.00
長庚大學,醫務管理學系,---,英　文(學測) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
長庚大學,生物醫學工程學系,---,數學甲(分科) x 1.25、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
長庚大學,資訊管理學系,---,數學乙(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.00
長庚大學,護理學系,數學 A (底標)或 數學 B (後標),英　文(學測) x 1.50、國　文(學測) x 1.50、化　學(分科) x 1.00
長庚大學,人工智慧學系,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
長庚大學,電機工程學系,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
長庚大學,機械工程學系,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
長庚大學,化工與材料工程學系(化學工程組),---,數學甲(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、物　理(分科) x 1.00、國　文(學測) x 1.00
長庚大學,電子工程學系,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
長庚大學,資訊工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
長庚大學,醫學系,國　文 (前標),生　物(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
長庚大學,醫學生物技術暨檢驗學系,---,生　物(分科) x 1.50、化　學(分科) x 1.50、英　文(學測) x 1.00
長庚大學,醫學影像暨放射科學系,---,物　理(分科) x 1.25、英　文(學測) x 1.25、數學甲(分科) x 1.25、生　物(分科) x 1.00、化　學(分科) x 1.00
長庚大學,職能治療學系,---,英　文(學測) x 1.50、生　物(分科) x 1.50、國　文(學測) x 1.25
長庚大學,物理治療學系,---,英　文(學測) x 1.50、生　物(分科) x 1.25、物　理(分科) x 1.25、國　文(學測) x 1.00
長庚大學,中醫學系,---,生　物(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
長庚大學,生物醫學系,---,化　學(分科) x 2.00、生　物(分科) x 2.00、英　文(學測) x 2.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
長庚大學,呼吸治療學系,---,生　物(分科) x 1.50、英　文(學測) x 1.00、化　學(分科) x 1.00
長庚大學,化工與材料工程學系(材料工程組),自　然 (後標),數學甲(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、物　理(分科) x 1.00、國　文(學測) x 1.00
長庚大學,生物醫學工程學系(國際雙聯組),英　文 (前標),英　文(學測) x 1.00、數學甲(分科) x 1.00、自　然(學測) x 1.00
長庚大學,數位金融科技學系,---,數學乙(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
國立臺中教育大學,數學教育學系,---,數學 A(學測) x 1.00、國　文(學測) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00
國立臺中教育大學,幼兒教育學系,---,國　文(學測) x 2.00、英　文(學測) x 1.50、公民與社會(分科) x 1.00
國立臺中教育大學,區域與社會發展學系,---,歷　史(分科) x 2.00、地　理(分科) x 2.00、公民與社會(分科) x 2.00、英　文(學測) x 1.00
國立臺中教育大學,教育學系,---,國　文(學測) x 1.50、數學乙(分科) x 1.50、英　文(學測) x 1.00
國立臺中教育大學,美術學系,---,美　術(術科) x 2.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺中教育大學,音樂學系,---,英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺中教育大學,特殊教育學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、公民與社會(分科) x 1.00
國立臺中教育大學,語文教育學系,數學 A (底標)或 數學 B (底標),國　文(學測) x 2.00、歷　史(分科) x 1.00、英　文(學測) x 1.00
國立臺中教育大學,科學教育與應用學系,---,化　學(分科) x 2.00、物　理(分科) x 2.00、數學甲(分科) x 1.00
國立臺中教育大學,體育學系,---,體　育(術科) x 2.00、國　文(學測) x 2.00、生　物(分科) x 1.00、數學 B(學測) x 1.00
國立臺中教育大學,臺灣語文學系,---,國　文(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立臺中教育大學,資訊工程學系,---,數學甲(分科) x 1.25、英　文(學測) x 1.25、國　文(學測) x 1.00
國立臺中教育大學,英語學系,---,英　文(學測) x 2.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺中教育大學,數位內容科技學系,數學 A (後標)或 數學 B (均標),英　文(學測) x 1.00、國　文(學測) x 1.00、物　理(分科) x 1.00
國立臺中教育大學,諮商與應用心理學系,數學 B (底標),國　文(學測) x 2.00、英　文(學測) x 2.00、公民與社會(分科) x 1.00
國立臺中教育大學,國際企業學系,數學 A (後標)或 數學 B (後標),英　文(學測) x 1.50、國　文(學測) x 1.25、公民與社會(分科) x 1.00
國立臺中教育大學,文化創意產業設計與營運學系,---,英　文(學測) x 2.00、公民與社會(分科) x 2.00、國　文(學測) x 1.00
國立臺中教育大學,全校不分系學士學位學程,---,英　文(學測) x 1.25、國　文(學測) x 1.00、數學乙(分科) x 1.00
國立臺北教育大學,特殊教育學系(文組),---,英　文(學測) x 2.00、國　文(學測) x 1.50、地　理(分科) x 1.50、數學 B(學測) x 1.00
國立臺北教育大學,數學暨資訊教育學系數學組,---,數學甲(分科) x 2.00、國　文(學測) x 1.00、英　文(學測) x 1.00
國立臺北教育大學,幼兒與家庭教育學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、數學 B(學測) x 1.00、歷　史(分科) x 1.00
國立臺北教育大學,兒童英語教育學系,---,英　文(學測) x 2.00、國　文(學測) x 1.00、數學 B(學測) x 1.00、歷　史(分科) x 1.00
國立臺北教育大學,社會與區域發展學系,---,數學乙(分科) x 1.00、地　理(分科) x 1.50、歷　史(分科) x 1.50
國立臺北教育大學,教育學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、數學 B(學測) x 1.25、歷　史(分科) x 1.00、公民與社會(分科) x 1.00
國立臺北教育大學,藝術與造形設計學系藝術組,---,國　文(學測) x 1.50、英　文(學測) x 1.50、歷　史(分科) x 1.00、數學 B(學測) x 1.00
國立臺北教育大學,心理與諮商學系,---,數學 B(學測) x 1.50、英　文(學測) x 1.25、國　文(學測) x 1.25、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
國立臺北教育大學,語文與創作學系語文師資組,---,國　文(學測) x 2.00、英　文(學測) x 1.25、歷　史(分科) x 1.00、數學 B(學測) x 1.00
國立臺北教育大學,自然科學教育學系,---,物　理(分科) x 2.00、化　學(分科) x 2.00、數學甲(分科) x 1.00、英　文(學測) x 1.00
國立臺北教育大學,體育學系(男),數學 A (後標)或 數學 B (後標),生　物(分科) x 2.00、公民與社會(分科) x 2.00、國　文(學測) x 1.00、體　育(術科) x 1.00
國立臺北教育大學,數學暨資訊教育學系人工智慧與資訊教育組,---,數學甲(分科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺北教育大學,藝術與造形設計學系設計組,---,英　文(學測) x 1.50、數學 B(學測) x 2.00、國　文(學測) x 1.25、歷　史(分科) x 1.00
國立臺北教育大學,資訊科學系,---,數學甲(分科) x 2.00、英　文(學測) x 2.00、物　理(分科) x 1.00、國　文(學測) x 1.00
國立臺北教育大學,教育經營與管理學系,---,英　文(學測) x 1.50、數學 B(學測) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立臺北教育大學,語文與創作學系文學創作組,---,國　文(學測) x 2.00、英　文(學測) x 1.25、歷　史(分科) x 1.00
國立臺北教育大學,數位科技設計學系(資訊應用組),---,數學甲(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00
國立臺北教育大學,文化創意產業經營學系,國　文 (均標) 數學 A (均標)或 數學 B (均標),社　會(學測) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.50、地　理(分科) x 1.00、歷　史(分科) x 1.00
國立臺北教育大學,數位科技設計學系(創意設計組),---,英　文(學測) x 1.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立臺北教育大學,特殊教育學系(理組),---,英　文(學測) x 2.00、國　文(學測) x 1.50、物　理(分科) x 1.50、數學 B(學測) x 1.00
國立臺北教育大學,體育學系(女),數學 A (後標)或 數學 B (後標),生　物(分科) x 2.00、公民與社會(分科) x 2.00、國　文(學測) x 1.00、體　育(術科) x 1.00
國立臺北教育大學,台灣語言與文化學系,---,國　文(學測) x 1.00、英　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺南大學,幼兒教育學系,---,國　文(學測) x 2.00、英　文(學測) x 1.50、公民與社會(分科) x 1.00
國立臺南大學,行政管理學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、數學 B(學測) x 1.00、公民與社會(分科) x 1.00
國立臺南大學,教育學系,---,公民與社會(分科) x 2.00、國　文(學測) x 1.50、英　文(學測) x 1.00
國立臺南大學,視覺藝術與設計學系,---,美　術(術科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺南大學,音樂學系,---,英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立臺南大學,特殊教育學系,---,國　文(學測) x 1.50、英　文(學測) x 1.00、數學 B(學測) x 1.00、公民與社會(分科) x 2.00
國立臺南大學,國語文學系,---,國　文(學測) x 2.00、歷　史(分科) x 1.00、英　文(學測) x 1.00
國立臺南大學,材料科學系,---,物　理(分科) x 1.50、化　學(分科) x 1.50、數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺南大學,應用數學系,---,數學甲(分科) x 2.00、自　然(學測) x 1.50、英　文(學測) x 1.00
國立臺南大學,體育學系,---,體　育(術科) x 2.00、國　文(學測) x 1.00、數學 B(學測) x 1.00、英　文(學測) x 1.00、生　物(分科) x 1.00
國立臺南大學,數位學習科技學系(數位學習系統組),---,數學乙(分科) x 1.00、英　文(學測) x 2.00、國　文(學測) x 2.00
國立臺南大學,資訊工程學系,---,數學甲(分科) x 1.50、英　文(學測) x 1.25、國　文(學測) x 1.00
國立臺南大學,生物科技學系,---,生　物(分科) x 2.00、國　文(學測) x 2.00、化　學(分科) x 1.00
國立臺南大學,電機工程學系,---,數學甲(分科) x 1.00、英　文(學測) x 1.50、物　理(分科) x 1.00、國　文(學測) x 1.00
國立臺南大學,綠色能源科技學系,---,數學甲(分科) x 1.50、物　理(分科) x 1.50、英　文(學測) x 1.00
國立臺南大學,文化與自然資源學系,---,歷　史(分科) x 2.00、地　理(分科) x 2.00、國　文(學測) x 1.00
國立臺南大學,諮商與輔導學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、數學 B(學測) x 1.50、公民與社會(分科) x 1.00
國立臺南大學,英語學系,---,英　文(學測) x 2.00、國　文(學測) x 1.25、歷　史(分科) x 1.00
國立臺南大學,戲劇創作與應用學系(男),---,國　文(學測) x 2.00、英　文(學測) x 2.00、歷　史(分科) x 1.00
國立臺南大學,經營與管理學系,---,英　文(學測) x 2.00、數學 B(學測) x 1.50、公民與社會(分科) x 1.50、國　文(學測) x 1.00
國立臺南大學,生態暨環境資源學系,---,地　理(分科) x 1.00、國　文(學測) x 1.00、英　文(學測) x 1.00
國立臺南大學,數位學習科技學系(數位學習內容組),---,英　文(學測) x 1.00、國　文(學測) x 2.00、數學 B(學測) x 1.00、地　理(分科) x 2.00
國立臺南大學,戲劇創作與應用學系(女),---,國　文(學測) x 2.00、英　文(學測) x 2.00、歷　史(分科) x 1.00
國立東華大學,英美語文學系,---,英　文(學測) x 2.00、國　文(學測) x 1.25、公民與社會(分科) x 1.00
國立東華大學,觀光暨休閒遊憩學系,---,英　文(學測) x 2.00、國　文(學測) x 1.50、地　理(分科) x 1.50、數學 B(學測) x 1.00
國立東華大學,企業管理學系,數學 A (後標)或 數學 B (後標),英　文(學測) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立東華大學,資訊管理學系,數學 A (後標)或 數學 B (後標),英　文(學測) x 2.00、國　文(學測) x 2.00、公民與社會(分科) x 1.00
國立東華大學,化學系,---,化　學(分科) x 2.00、英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立東華大學,物理學系物理組,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立東華大學,華文文學與創作學系,---,國　文(學測) x 2.00、歷　史(分科) x 1.50、社　會(學測) x 1.00
國立東華大學,歷史學系,---,歷　史(分科) x 2.00、社　會(學測) x 1.50、國　文(學測) x 1.00
國立東華大學,應用數學系統計科學組,---,數學甲(分科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立東華大學,材料科學與工程學系,---,物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00
國立東華大學,經濟學系,---,數學 B(學測) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立東華大學,諮商與臨床心理學系(自然組),---,英　文(學測) x 1.50、數學甲(分科) x 1.50、國　文(學測) x 1.00
國立東華大學,會計學系,---,英　文(學測) x 2.00、數學 B(學測) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立東華大學,財務金融學系,---,國　文(學測) x 1.00、數學 B(學測) x 1.00、英　文(學測) x 1.00、公民與社會(分科) x 1.00
國立東華大學,應用數學系數學科學組,---,數學甲(分科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立東華大學,生化暨分子醫學科學系,---,生　物(分科) x 1.75、化　學(分科) x 1.50、英　文(學測) x 1.75、國　文(學測) x 1.00
國立東華大學,資訊工程學系資工組,---,數學甲(分科) x 1.50、英　文(學測) x 1.25、國　文(學測) x 1.00
國立東華大學,電機工程學系智慧系統組,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立東華大學,國際企業學系,數學 A (後標)或 數學 B (後標),英　文(學測) x 2.00、國　文(學測) x 1.50、公民與社會(分科) x 1.00
國立東華大學,自然資源與環境學系環境管理與環境教育組,---,地　理(分科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 2.00
國立東華大學,音樂學系,---,音　樂(術科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
國立東華大學,教育與潛能開發學系,---,國　文(學測) x 2.00、公民與社會(分科) x 1.00、英　文(學測) x 1.00
國立東華大學,中國語文學系,---,國　文(學測) x 2.00、歷　史(分科) x 1.50、社　會(學測) x 1.00
國立東華大學,社會學系,---,社　會(學測) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.50、公民與社會(分科) x 2.00
國立東華大學,幼兒教育學系,---,國　文(學測) x 2.00、公民與社會(分科) x 1.75、歷　史(分科) x 1.75
國立東華大學,藝術與設計學系,---,國　文(學測) x 2.00、英　文(學測) x 1.00、歷　史(分科) x 1.00
國立東華大學,特殊教育學系,---,公民與社會(分科) x 2.00、歷　史(分科) x 1.00、國　文(學測) x 1.00
國立東華大學,民族發展與社會工作學系民族發展組,---,社　會(學測) x 2.00、公民與社會(分科) x 1.50、國　文(學測) x 1.00
國立東華大學,藝術創意產業學系,---,國　文(學測) x 2.00、歷　史(分科) x 2.00、公民與社會(分科) x 1.00
國立東華大學,體育與運動科學系,---,國　文(學測) x 1.00、英　文(學測) x 1.00、生　物(分科) x 1.00
國立東華大學,光電工程學系,---,物　理(分科) x 1.50、數學甲(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立東華大學,臺灣文化學系,---,社　會(學測) x 2.00、地　理(分科) x 2.00、歷　史(分科) x 1.50
國立東華大學,教育行政與管理學系,---,國　文(學測) x 2.00、英　文(學測) x 2.00、數學 B(學測) x 1.50、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
國立東華大學,物理學系奈米與光電科學組,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立東華大學,族群關係與文化學系,---,公民與社會(分科) x 2.00、國　文(學測) x 1.50、社　會(學測) x 1.00
國立東華大學,民族語言與傳播學系,---,社　會(學測) x 1.00、公民與社會(分科) x 1.00、國　文(學測) x 1.00
國立東華大學,公共行政學系,---,公民與社會(分科) x 1.50、社　會(學測) x 2.00、國　文(學測) x 1.00
國立東華大學,法律學系,---,英　文(學測) x 1.00、公民與社會(分科) x 1.50、國　文(學測) x 2.00
國立東華大學,管理學院管理科學與財金國際學士學位學程,---,英　文(學測) x 2.00、數學乙(分科) x 1.00、公民與社會(分科) x 1.00、國　文(學測) x 1.00
國立東華大學,縱谷跨域書院學士學位學程,---,社　會(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立東華大學,原住民族樂舞與藝術學士學位學程,---,國　文(學測) x 2.00、公民與社會(分科) x 2.00、歷　史(分科) x 1.00
國立東華大學,電機工程學系半導體組,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立東華大學,自然資源與環境學系生態與保育組,---,生　物(分科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00
國立東華大學,自然資源與環境學系地球科學組,---,化　學(分科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00
國立東華大學,民族發展與社會工作學系社會工作組,---,公民與社會(分科) x 2.00、社　會(學測) x 1.50、國　文(學測) x 1.00
國立東華大學,資訊工程學系國際組,---,英　文(學測) x 1.50、數學甲(分科) x 1.25、國　文(學測) x 1.00
國立東華大學,諮商與臨床心理學系(社會組),---,英　文(學測) x 1.50、數學 B(學測) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
國立東華大學,管理學院會計與資訊管理國際學士班會計資訊與電腦稽核組,---,英　文(學測) x 2.00、國　文(學測) x 1.50、數學 B(學測) x 1.75、公民與社會(分科) x 1.00
國立東華大學,管理學院會計與資訊管理國際學士班智慧會計與風險管理組,---,英　文(學測) x 2.00、數學 A(學測) x 1.75、國　文(學測) x 1.50、公民與社會(分科) x 1.00
國立東華大學,理工學院大數據科學國際學士班,---,數學甲(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00
國立東華大學,管理學院數位行銷與服務創新國際學士班,數學 A (後標)或 數學 B (後標),英　文(學測) x 2.00、國　文(學測) x 1.75、公民與社會(分科) x 1.00
臺北市立大學,視覺藝術學系,國　文 (均標),美　術(術科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00、歷　史(分科) x 1.00
臺北市立大學,音樂學系,---,音　樂(術科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
