校名,學系名稱,採計科目及加權(含學測、分科及術科),錄取分數,平均
國立中興大學,動物科學系,國x1.00、英x1.50、數Ax1.00、化x1.50、生x1.50,280.5,43.15
國立中興大學,土壤環境科學系,英x2.00、物x1.00、化x2.00、生x2.00,246,35.14
國立中興大學,食品暨應用生物科技學系,國x1.00、英x1.50、數Ax1.00、化x1.50、生x1.50,259.5,39.92
國立中興大學,生物科技學士學位學程,國x1.00、英x1.50、化x1.50、生x1.50,239,43.45
國立中興大學,景觀與遊憩學士學位學程,國x1.00、英x1.50、數Ax1.00、數甲x1.50、物x1.00,221.5,36.92
國立中興大學,國際農企業學士學位學程,國x1.00、英x1.75、自x1.25、數甲x1.50、生x1.00,216.25,33.27
國立中興大學,生命科學系,英x1.00、化x1.75、生x1.75,187.25,41.61
國立中興大學,獸醫學系,英x1.50、數甲x1.00、化x1.50、生x1.50,266,48.36
國立成功大學,中國文學系,國x1.50、英x1.00、歷x1.00,166,47.43
國立成功大學,外國語文學系,國x1.50、英x2.00、地x1.00、歷x1.00,272.5,49.55
國立成功大學,歷史學系,國x1.25、英x1.25、地x1.00、歷x1.50,240.5,48.10
國立成功大學,台灣文學系,國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,264,44.00
國立成功大學,數學系,國x1.00、英x1.50、數甲x2.00、物x1.50、化x1.00,295,42.14
國立成功大學,物理學系,英x1.00、數Ax1.00、數甲x1.00、物x1.00、化x1.00,222,44.40
國立成功大學,化學系,國x1.00、英x1.00、數甲x1.25、物x1.25、化x1.50,268.25,44.71
國立成功大學,地球科學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,202,40.40
國立成功大學,光電科學與工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,229,45.80
國立成功大學,機械工程學系,英x1.00、數甲x2.00、物x2.00,220,44.00
國立成功大學,機械工程學系(普渡雙聯組),英x1.00、數甲x1.00、物x1.00,144,48.00
國立成功大學,化學工程學系,國x1.00、英x1.00、數甲x1.25、物x1.25、化x1.25,259.25,45.09
國立成功大學,材料科學及工程學系,數Ax1.00、物x1.50、化x1.50,192,48.00
國立成功大學,資源工程學系,國x1.00、英x1.00、數Ax1.00、物x1.00、化x1.00,220,44.00
國立成功大學,土木工程學系,國x1.00、英x1.00、數Ax1.00、物x1.00、化x1.00,215,43.00
國立成功大學,水利及海洋工程學系,國x1.00、英x1.25、數甲x1.75、物x1.50,231,42.00
國立成功大學,工程科學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,232,46.40
國立成功大學,系統及船舶機電工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,220,44.00
國立成功大學,航空太空工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00,184,46.00
國立成功大學,環境工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,212,42.40
國立成功大學,測量及空間資訊學系,國x1.00、英x2.00、數甲x2.00、物x2.00,293,41.86
國立成功大學,生物醫學工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,224,44.80
國立成功大學,工業與資訊管理學系,英x1.00、數Ax1.00、數甲x1.00、物x1.00、化x1.00,216,43.20
國立成功大學,交通管理科學系,國x1.00、英x1.25、數甲x1.25、物x1.00,191,42.44
國立成功大學,企業管理學系,國x1.00、英x2.00、數Bx2.00、公x1.00,285,47.50
國立成功大學,統計學系,國x1.00、英x1.50、數甲x1.50,178,44.50
國立成功大學,會計學系,國x1.00、英x2.00、數Bx2.00、公x1.00,288,48.00
國立成功大學,醫學系(自費),英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,275,55.00
國立成功大學,醫學系(公費),英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,255,51.00
國立成功大學,牙醫學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,265,53.00
國立成功大學,醫學檢驗生物技術學系,國x1.00、英x1.25、數甲x1.00、化x1.25、生x1.25,266,46.26
國立成功大學,護理學系,國x1.00、英x1.50、數甲x1.00、化x1.00、生x1.50,259.5,43.25
國立成功大學,職能治療學系,國x1.00、英x1.00、數Ax1.00、生x1.00,200,50.00
國立成功大學,物理治療學系,國x1.00、英x1.25、數甲x1.00、物x1.00、生x1.00,253.75,48.33
國立成功大學,藥學系,國x1.00、英x1.00、數甲x1.00、化x1.25、生x1.00,266.25,50.71
國立成功大學,政治學系,國x1.25、英x1.25、歷x1.00、公x1.00,217.75,48.39
國立成功大學,經濟學系(自然組),國x1.50、英x2.00、數甲x2.00,248.5,45.18
國立成功大學,經濟學系(社會組),國x1.00、英x2.00、數Ax2.00、公x2.00,322,46.00
國立成功大學,法律學系,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.00,243,48.60
國立成功大學,心理學系,國x1.00、英x1.50、數甲x1.50、化x1.00、生x1.00,268.5,44.75
國立成功大學,電機工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,250,50.00
國立成功大學,電機工程學系(普渡雙聯組),英x1.00、數甲x1.00、物x1.00、化x1.00,211,52.75
國立成功大學,資訊工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,245,49.00
國立成功大學,資訊工程學系(普渡雙聯組),國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,254,50.80
國立成功大學,建築學系,英x1.00、數甲x1.25、物x1.25、化x1.00,197.25,43.83
國立成功大學,都市計劃學系(自然組),國x1.50、英x1.50、數Ax1.50、物x1.00、化x1.00,284.5,43.77
國立成功大學,都市計劃學系(社會組),國x1.50、英x1.50、數Ax1.50、地x1.00、歷x1.00,297,45.69
國立成功大學,工業設計學系,國x1.00、英x1.50、數甲x1.00、物x1.50、化x1.00,259,43.17
國立成功大學,生命科學系,英x1.25、數Ax1.00、物x1.00、化x1.50、生x1.50,267.75,42.84
國立成功大學,生物科技與產業科學系,英x1.50、物x1.00、化x1.50、生x1.50,248.5,45.18
國立成功大學,全校不分系學士學位學程,國x1.00、英x1.00、數甲x1.00,150,50.00
東吳大學,中國文學系,國x2.00、英x1.00、歷x1.00,118,29.50
東吳大學,歷史學系,國x1.00、英x1.00、歷x2.00,161,40.25
東吳大學,哲學系,國x2.00、英x2.00、數Bx2.00、公x1.00,173,24.71
東吳大學,政治學系,國x1.50、英x1.50、數Bx1.00、公x1.50,206.5,37.55
東吳大學,社會學系,國x1.50、英x1.50、數Bx1.00、公x1.50,169,30.73
東吳大學,社會工作學系,國x1.50、英x1.00、數Bx1.00、公x2.00,171.5,31.18
東吳大學,音樂學系-鋼琴.聲樂.弦樂.理論作曲,國x1.00、英x1.00、歷x1.00、術科x2.00,219.26,43.85
東吳大學,音樂學系-銅管樂.木管樂.擊樂,國x1.00、英x1.00、歷x1.00、術科x2.00,211.24,42.25
東吳大學,英文學系,國x1.50、英x2.00、歷x1.00,137.5,30.56
東吳大學,日本語文學系,國x1.50、英x1.50、歷x1.00、公x1.00,189.5,37.90
東吳大學,德國文化學系,國x1.50、英x2.00、歷x1.50,164.5,32.90
